redirect_id,original_redirect_id,old_url,url_input_id,is_input_element,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,url_index,parsed_at,method
page_1_857_url_0,857,/tochkovi,368,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,0,2025-08-20T22:24:23.100799,super_optimized_evaluate_all_with_inputs
page_1_857_url_1,857,/tochkovi/,369,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,1,2025-08-20T22:24:23.100800,super_optimized_evaluate_all_with_inputs
page_1_857_url_2,857,/tochkova-stymuliatsiia,370,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,2,2025-08-20T22:24:23.100802,super_optimized_evaluate_all_with_inputs
page_1_857_url_3,857,/tochkova-stymuliatsiia/,437,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,3,2025-08-20T22:24:23.100803,super_optimized_evaluate_all_with_inputs
page_1_857_url_4,857,/tochkovi-vibratory,440,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,4,2025-08-20T22:24:23.100804,super_optimized_evaluate_all_with_inputs
page_1_857_url_5,857,/tochkovi-vibratory/,443,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,5,2025-08-20T22:24:23.100806,super_optimized_evaluate_all_with_inputs
page_1_857_url_6,857,/klitoralni-vibratory,24796,True,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,6,2025-08-20T22:24:23.100807,super_optimized_evaluate_all_with_inputs
page_1_858_url_0,858,/z-hnuchkym-stvolom,373,True,/klasychni-vibratory,/,Структура сайту,Класичні вібратори,4,1102,1,58,0,2025-08-20T22:24:23.100809,super_optimized_evaluate_all_with_inputs
page_1_858_url_1,858,/z-hnuchkym-stvolom/,1358,True,/klasychni-vibratory,/,Структура сайту,Класичні вібратори,4,1102,1,58,1,2025-08-20T22:24:23.100810,super_optimized_evaluate_all_with_inputs
page_1_858_url_2,858,/klasychni-vibratory,24797,True,/klasychni-vibratory,/,Структура сайту,Класичні вібратори,4,1102,1,58,2,2025-08-20T22:24:23.100811,super_optimized_evaluate_all_with_inputs
